TEU,ETD,ETDYear,ETDMonth,ETDWeek,CustomerBECode,CustomerName,SeaAir
0.1863,2013-07-17,2013,7,29,BENIKE2,Nike,OCE
0.4092,2013-09-01,2013,9,35,SGLCLNIKE,Nike,OCE
0.0558,2013-09-12,2013,9,37,BENIKE2,Nike,OCE
0.0488,2013-09-15,2013,9,37,BENIKE2,Nike,OCE
0.6342,2013-09-14,2013,9,37,BENIKE2,Nike,OCE
0.0196,2013-09-18,2013,9,38,BENIKE2,Nike,OCE
0.1312,2013-08-12,2013,8,33,MYLCLNIKE,Nike,OCE
1.9104,2013-09-22,2013,9,38,MYLCLNIKE,Nike,OCE
1.7243,2013-09-22,2013,9,38,MYLCLNIKE,Nike,OCE
0.0186,2013-09-17,2013,9,38,BENIKE2,Nike,OCE
0.5198,2013-09-17,2013,9,38,BENIKE2,Nike,OCE
0.0878,2013-09-30,2013,9,40,IDNIKEINDO,Nike,OCE
1.9681,2013-09-22,2013,9,38,BENIKE2,Nike,OCE
1.3819,2013-09-22,2013,9,38,BENIKE2,Nike,OCE
0.0186,2013-09-26,2013,9,39,BENIKE2,Nike,OCE
0.0531,2013-09-07,2013,9,36,BENIKE2,Nike,OCE
0.2181,2013-09-22,2013,9,38,BENIKE2,Nike,OCE
0.0481,2013-09-22,2013,9,38,BENIKE2,Nike,OCE
0.0238,2013-09-22,2013,9,38,BENIKE2,Nike,OCE
0.0812,2013-09-29,2013,9,39,BENIKE2,Nike,OCE
1.0000,2013-10-22,2013,10,43,BENIKE2,Nike,OCE
0.0262,2013-10-22,2013,10,43,BENIKE2,Nike,OCE
0.0285,2013-10-22,2013,10,43,BENIKE2,Nike,OCE
0.5873,2013-10-13,2013,10,41,BENIKEPOP,Nike,OCE
0.0423,2013-10-26,2013,10,43,BENIKE2,Nike,OCE
0.2250,2013-10-26,2013,10,43,BENIKE2,Nike,OCE
0.3831,2013-10-26,2013,10,43,BENIKE2,Nike,OCE
0.0515,2013-10-25,2013,10,43,BENIKE2,Nike,OCE
0.0068,2013-11-16,2013,11,46,BENIKE2,Nike,OCE
0.0492,2013-07-12,2013,7,28,BENIKE2,Nike,OCE
0.1863,2013-11-30,2013,11,48,BENIKE2,Nike,OCE
0.5115,2013-08-11,2013,8,32,SGLCLNIKE,Nike,OCE
0.5373,2013-12-14,2013,12,50,SGLCLNIKE,Nike,OCE
0.9875,2013-11-16,2013,11,46,PHNIKEE,Nike,OCE
0.3435,2013-11-23,2013,11,47,BENIKE2,Nike,OCE
0.8873,2013-11-23,2013,11,47,BENIKE2,Nike,OCE
1.0000,2013-11-19,2013,11,47,BENIKE2,Nike,OCE
0.0188,2013-12-26,2013,12,52,BENIKE2,Nike,OCE
0.3962,2013-12-31,2013,12,1,BENIKE2,Nike,OCE
0.0508,2013-12-31,2013,12,1,BENIKE2,Nike,OCE
0.2327,2013-08-19,2013,8,34,BENIKE2,Nike,OCE
0.0408,2013-08-19,2013,8,34,BENIKE2,Nike,OCE
0.0408,2013-08-19,2013,8,34,BENIKE2,Nike,OCE
0.5181,2013-09-30,2013,9,40,SGLCLNIKE,Nike,OCE
0.0115,2013-09-30,2013,9,40,SGLCLNIKE,Nike,OCE
0.0038,2013-09-28,2013,9,39,BENIKE2,Nike,OCE
0.0050,2013-09-28,2013,9,39,BENIKE2,Nike,OCE
0.1850,2013-09-28,2013,9,39,BENIKE2,Nike,OCE
1.2627,2013-10-18,2013,10,42,USNIKEINTL,Nike,OCE
0.0323,2013-12-18,2013,12,51,BENIKE2,Nike,OCE
0.5612,2013-12-21,2013,12,51,BENIKE2,Nike,OCE
0.2342,2013-12-18,2013,12,51,BENIKE2,Nike,OCE
0.5000,2013-12-18,2013,12,51,BENIKEPOP,Nike,OCE
2.2500,2013-12-25,2013,12,52,BENIKE2,Nike,OCE
0.0973,2013-12-08,2013,12,49,BENIKE2,Nike,OCE
0.1424,2013-12-21,2013,12,51,BENIKE2,Nike,OCE
0.2265,2013-12-07,2013,12,49,BENIKE2,Nike,OCE
0.1454,2013-12-10,2013,12,50,BENIKE2,Nike,OCE
0.0673,2013-12-10,2013,12,50,BENIKE2,Nike,OCE
0.0850,2013-12-17,2013,12,51,BENIKE2,Nike,OCE
0.1532,2013-12-07,2013,12,49,BENIKE2,Nike,OCE
0.0213,2013-12-07,2013,12,49,BENIKE2,Nike,OCE
1.0000,2013-12-25,2013,12,52,BENIKE2,Nike,OCE
0.0685,2013-11-30,2013,11,48,BENIKE2,Nike,OCE
0.0223,2013-12-05,2013,12,49,BENIKE2,Nike,OCE
0.1273,2013-12-05,2013,12,49,BENIKE2,Nike,OCE
0.0185,2013-12-05,2013,12,49,BENIKE2,Nike,OCE
0.0596,2013-12-05,2013,12,49,BENIKE2,Nike,OCE
0.4319,2013-12-29,2013,12,52,MYLCLNIKE,Nike,OCE
0.4962,2013-12-29,2013,12,52,MYLCLNIKE,Nike,OCE
1.3942,2013-12-29,2013,12,52,MYLCLNIKE,Nike,OCE
0.4724,2013-10-17,2013,10,42,BENIKE2,Nike,OCE
0.1995,2013-10-22,2013,10,43,BENIKE2,Nike,OCE
0.8063,2013-11-30,2013,11,48,THLCLNIKE,Nike,OCE
0.0334,2013-11-24,2013,11,47,BENIKE2,Nike,OCE
0.0638,2013-11-24,2013,11,47,BENIKE2,Nike,OCE
1.0000,2013-11-16,2013,11,46,BENIKE2,Nike,OCE
0.0601,2013-10-30,2013,10,44,BENIKE2,Nike,OCE
0.0577,2013-10-27,2013,10,43,BENIKE2,Nike,OCE
0.3969,2013-10-09,2013,10,41,BENIKE2,Nike,OCE
0.7508,2013-10-27,2013,10,43,MYLCLNIKE,Nike,OCE
1.0251,2013-11-30,2013,11,48,BENIKE2,Nike,OCE
0.3838,2013-12-18,2013,12,51,BENIKE2,Nike,OCE
0.0142,2013-12-08,2013,12,49,BENIKE2,Nike,OCE
