TEU,ETD,ETDYear,ETDMonth,ETDWeek,CustomerBECode,CustomerName,SeaAir
2.2500,2015-07-15,2015,7,29,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-15,2015,7,29,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-09,2015,7,28,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-09-12,2015,9,37,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-09-04,2015,9,36,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-04-09,2015,4,15,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-04-09,2015,4,15,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-10-14,2015,10,42,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-08-19,2015,8,34,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-11-18,2015,11,47,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-11-23,2015,11,48,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-10-05,2015,10,41,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.3718,2015-07-08,2015,7,28,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-06-05,2015,6,23,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-15,2015,7,29,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-15,2015,7,29,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-01-23,2015,1,4,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-06-25,2015,6,26,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-06-04,2015,6,23,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-09-09,2015,9,37,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-06-04,2015,6,23,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-06-04,2015,6,23,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-06-04,2015,6,23,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
